Name,Image,Buy,Back Color,Body Color,Head Color,Foot Color,Pen Color 1,Pen Color 2,Pen Color 3,Pen Color 4,Start Date,End Date,NH Start Date,NH End Date,SH Start Date,SH End Date,Version,Filename,Internal ID,Unique Entry ID
Acorn card,,200,None,#FFEB9E,#FFEB9E,#FFEB9E,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,9/1,11/25,3/1,5/25,1.0.0,MsgFall03,433,oWdfeTEzWt8puvKW3
Airmail card,,200,None,#000000,#000000,#000000,#3754B5,#CB1E10,#FFFFFF,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther01,0,FfCPKSQkxM64FZ2nd
Baby-goods card,,200,None,#1B879D,#251615,#251615,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgBaby00,388,TDuhkjRtw7KAQakP2
Balloons card,,200,#FAF8DF,#20160A,#D13C00,#D13C00,#20160A,#D13C00,#D92910,#299279,NA,NA,NA,NA,NA,NA,1.0.0,MsgBirthday02,391,AdTRESNSb7JfssoCt
Bandage card,,200,None,#022D67,#FFFFFF,#FFFFFF,#022D67,#FFFFFF,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgSympathy00,363,p5cZtRuvvHRk4nETq
Beach card,,200,None,#601600,#3F0900,#3F0900,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,6/1,8/31,12/1,"2/28
2/29",1.0.0,MsgSummer03,432,jEjPnzF6G3hDkq8P4
Birthday-cake card,,200,None,#170B03,#170B03,#170B03,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgBirthday00,389,rRnBoDeMhYutyWtqD
Blue-sky card,,200,None,#BDEBFF,#69D3FF,#69D3FF,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther06,405,meW8u7nvBuTdJpCeG
Bunny Day card,,200,#F8F6D3,#281511,#281511,#281511,#05050F,#0413F4,#ED0402,#FFBB00,3/15,5/10,NA,NA,NA,NA,1.0.0,MsgEaster00,395,bmD2rpkaq8gdBi8TZ
Camo card,,200,None,#FFD990,#D1C330,#D1C330,#FFD990,#D1C330,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgCool01,382,Pa6BykAvEjxAgrNmB
Card from Bank of Nook,,NFS,None,#00572E,#00572E,#00572E,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgBank00,429,q4KoqTjC22ghtvuu4
Card from C.J.,,NFS,None,#AD1600,#041554,#E5DFC1,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgFish00,427,pyhPqjY5seC6N2EPP
Card from Flick,,NFS,None,#71BF73,#71BF73,#71BF73,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgInsect00,428,8H9YnYnz44vYZBTzd
Card from Happy Home Academy,,NFS,None,#210E0A,#210E0A,#210E0A,#210E0A,#7F3501,#A46301,#851D04,NA,NA,NA,NA,NA,NA,1.0.0,MsgAcademy00,387,9SnHEWxApcQCBiefK
Card from Jolly Redd's,,NFS,None,#002F36,#002F36,#002F36,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgTsunekichi00,435,eD6D9pW3A6a8YM5Es
Card from K.K.,,NFS,None,#443F3F,#181818,#181818,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgTotakeke00,411,pK5n68w5djRAXGrBR
Card from Nook Mileage Program,,NFS,None,#23237D,#23237D,#23237D,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgMilage00,430,aFfbn4p7DAQDEfLnB
Card from Your pals at Dodo Airlines,,NFS,None,#FFFFFF,#FFFFFF,#FFFFFF,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgDal00,431,jmD477wFpZYTyg7JW
Carpet-of-leaves card,,200,None,#FFDB83,#FFDB83,#FFDB83,#FFDB83,#FFCC58,#FFFFFF,#FFFFFF,NA,NA,9/1,11/25,3/1,5/25,1.0.0,MsgFall01,375,4gutEbpyCGQJywuqR
Cherry-blossoms card,,200,None,#480A1F,#F41D61,#F41D61,#002C57,#F41D61,#FFFFFF,#9537BF,NA,NA,2/25,5/31,8/25,11/30,1.0.0,MsgSpring00,379,CePQFE2nenXK2nS8W
Chocolate card,,200,None,#FFE6E9,#FFA63A,#FFA63A,#FFE6E9,#FFA63A,#FFFFFF,#FF122F,1/16,2/14,NA,NA,NA,NA,1.0.0,MsgValentine01,364,ek9h3bN59WHc4c9ee
Chocolate-heart card,,200,None,#FFFFFF,#FFD1EB,#FFD1EB,#05050F,#0413F4,#ED0402,#FFBB00,1/16,2/14,NA,NA,NA,NA,1.0.0,MsgValentine00,412,EwqiNdRrQJFLjEPTD
Common card,,200,None,#371E18,#371E18,#371E18,#371E18,#695248,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgSimple00,368,shuuoFNypR6Fgntq5
Cool-cool card,,200,None,#6D6D6D,#BBBBBB,#BBBBBB,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgCool00,393,tGtbK6hWXFuDDtEQY
Dandelion card,,200,None,#DF2D04,#033000,#033000,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,2/25,5/31,8/25,11/30,1.0.0,MsgSpring01,406,qBukA5CtCMxwiuQs2
Dawning-year card,,NFS,None,#0B0603,#0B0603,#0B0603,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgNewyear01,403,K7N64yJH3NpwKk6BY
Decorative card,,200,None,#6D0F05,#F4FF87,#F4FF87,#6D0F05,#F4FF87,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgGorgeous01,360,tWZFw2DJ85cJhfyJE
Elegant-roses card,,200,None,#E1B962,#D1B42D,#D1B42D,#E1B962,#D1B42D,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgElegant01,396,yQ4NKsgLyQyaxonn6
Fanciful card,,200,None,#FFC8A3,#FFC8A3,#FFC8A3,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgCute00,378,LDXqDQmHJmGTvgRcf
Fantasy-stars card,,200,None,#2807CB,#EB1BBF,#F64E09,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgCute01,394,y6pgsRhjp7BEJufqM
Father's Day card,,200,#B8FFDF,#0C4390,#030956,#030956,#0C4390,#030956,#FFFFFF,#FFFFFF,6/1,6/30,NA,NA,NA,NA,1.0.0,MsgFather00,376,hFxBjcAtSZGc4b6Ef
Festive-tree card,,200,None,#FFFFFF,#FFFFFF,#FFFFFF,#05050F,#0413F4,#ED0402,#FFBB00,11/20,1/10,NA,NA,NA,NA,1.0.0,MsgChristmas00,392,SKZtd2YWveniGktxw
Fireworks card,,NFS,#090650,#975BFF,#FF7DE5,#4864E9,#975BFF,#FF7DE5,#4864E9,#FEE12E,NA,NA,NA,NA,NA,NA,1.0.0,MsgNewyear00,402,CRrysKXYPecdavppY
Flight-ticket card,,NFS,None,#27211E,#FFFADF,#27211E,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,2.0.0,MsgWherearen05,439,XGnRzexuWbqFGnR7P
Flower-bouquet card,,200,None,#550700,#270B06,#270B06,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgThankyou00,410,B6M3bgwNGuhfojaAv
Fluffy-clouds card,,200,None,#001764,#0A0A10,#FFFFFF,#001764,#FFFFFF,#0A0A10,#3BA6D7,NA,NA,6/1,8/31,12/1,"2/28
2/29",1.0.0,MsgSummer01,366,soTMti7GC6DBuNTTQ
Full-bloom card,,200,None,#BF2000,#520C03,#520C03,#BF2000,#520C03,#649C1C,#D33204,NA,NA,2/25,5/31,8/25,11/30,1.0.0,MsgSpring02,373,XuiGAQaASmhbhaYQR
Gears card,,200,None,#43D1C2,#FFFFFF,#FFFFFF,#43D1C2,#FFFFFF,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther04,372,d8JvDkZmHn7fa25nd
Gem card,,200,#7ABB92,#07412F,#053643,#053643,#07412F,#053643,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgElegant00,384,8u6GWaqqKowKDaQMc
Gift card,,NFS,None,#1B0800,#1B0800,#1B0800,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgShopping00,434,Lg9oDxdeWQoiqSDfa
Glowing-moss card,,,None,#E5FFFF,#90FFFF,#D3FB76,#05050F,#0413F4,#ED0402,#FFBB00,,,,,,,2.0.0,MsgWherearen03,438,EnzJovE36QtxCGf2B
Goldfish card,,200,None,#053351,#0E120E,#0E120E,#053351,#0E120E,#DB4213,#3F541F,NA,NA,NA,NA,NA,NA,1.0.0,MsgSummer00,408,LYSrW8P9Qtbgjp6Fo
Graduation card,,200,None,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#244FD1,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgGraduate00,361,KNgFTS9DnY2yDj3Po
