#,Name,Image,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Icon Filename,Internal ID,Unique Entry ID
1,Greetings,,All villagers,,NA,NA,1.0.0,Greeting,50,oE6uqhZYjYfuqb55n
2,Agreement,,Cranky villagers,,NA,NA,1.0.0,Nodding,39,7smqwK9J7eFBxta28
3,Disagreement,,Big Sister villagers,,NA,NA,1.0.0,Negative,58,Bw5YBM6iuWgMzutWq
4,Pleased,,Normal villagers,,NA,NA,1.0.0,Hello,120,Z3MuKfQMaH3D8vkPA
5,Happiness,,Peppy villagers,,NA,NA,1.0.0,Smiling,19,TWENXBbBENgnFiGq3
6,Joy,,All villagers,,NA,NA,1.0.0,HappyFlower,21,fSNyHJHgLKac5mSLT
7,Glee,,Normal villagers,,NA,NA,1.0.0,HappyDance,23,8nAwdhzZfotqpLC9R
8,Laughter,,Big Sister villagers,,NA,NA,1.0.0,Laughing,20,EBenMHMpwnkMgS6eg
9,Love,,Snooty villagers,Requires a high level of friendship,NA,NA,1.0.0,Love,22,GvAsErCFuGAcMAeXM
10,Confident,,Big Sister villagers,Requires a high level of friendship,NA,NA,1.0.0,Assent,127,TGifHTbyLBh4f3gDQ
11,Showmanship,,Smug villagers,Requires a high level of friendship,NA,NA,1.0.0,Shaki,62,Bj5iG7kc6tLND9bjn
12,Flourish,,Jock villagers,Requires a high level of friendship,NA,NA,1.0.0,Dance,60,5QDD3DcwdPhbGoJAf
13,Pride,,Lazy villagers,Requires a high level of friendship,NA,NA,1.0.0,SmugFace,51,xKoQpdJMtocNFRckm
14,Encouraging,,Jock villagers,,NA,NA,1.0.0,Cheering,49,fomfML4NWdY8x6adv
15,Delight,,All villagers,,NA,NA,1.0.0,Clapping,47,F9DpGeqZzDeSTh2bq
16,Apologetic,,Big Sister villagers,,NA,NA,1.0.0,Apologize,126,jBKsQYCAd7PtymQeB
17,Bewilderment,,Cranky villagers,,NA,NA,1.0.0,Pardon,253,WRSSRZMtM6rXfXBrR
18,Curiosity,,Peppy villagers,,NA,NA,1.0.0,QuestionMark,41,SskgipgnKzm5TsK7d
19,Surprise,,All villagers,,NA,NA,1.0.0,Aha,34,7jmkZiSxrYT7MMm4P
20,Amazed,,Snooty villagers,,NA,NA,1.0.0,Shocked,33,vosig4bbr4kPq57AT
21,Inspiration,,Cranky villagers,Requires a high level of friendship,NA,NA,1.0.0,IdeaBulb,40,8ux4ddfibJQR2EuWW
22,Shocked,,Jock villagers,,NA,NA,1.0.0,Surprised,36,bn29da8SNdMYYyWAa
23,Mistaken,,Lazy villagers,,NA,NA,1.0.0,Oops,59,DPR7WWkmR36Bsf2LG
24,Bashfulness,,Lazy villagers,,NA,NA,1.0.0,Blushing,44,wzvKbFrEJCseTohoz
25,Shyness,,Lazy villagers,,NA,NA,1.0.0,Hesitate,57,9H7jt7AGKbh6mW4y8
26,Sheepishness,,Cranky villagers,,NA,NA,1.0.0,WrySmile,54,5cRnCPDJRdRpPJF8D
27,Smirking,,Smug villagers,,NA,NA,1.0.0,Grin,53,KDAWT9zDKpufEWgaW
28,Mischief,,Peppy villagers,Requires a high level of friendship,NA,NA,1.0.0,Scheming,46,E7it7yLfFaddFvEhQ
29,Resignation,,Smug villagers,,NA,NA,1.0.0,OhGeez,45,7YdF3ZMr95XP3FaoW
