Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
acorn pochette,,NA,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Equipment,7492,brown,BagShoulderAcorn0,NA,4682,632,a9FFbP64fTcJ3Cn5E
acorn rug,,NA,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,2.0.0,Yes,0,Rugs,12335,brown,RugOtherAcornM00,NA,4670,838,xhGXhkpGNg7hAjPJj
acoustic guitar,,NA,8,softwood,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,383,brown,FtrAcorsticguitar,NA,406,44,Y62RymJYgbmZEyQon
aji fry,,NA,1,horse mackerel,1,flour,,,,,,,,,NFS,200,NA,NA,Catching a horse mackerel,,NA,NA,2.0.0,Yes,0,Savory,14163,color_62,FtrFishdishHorsemackere,NA,13502,943,GZsekGju6nyL83xQw
anchoas al ajillo,,NA,2,anchovy,,,,,,,,,,,NFS,200,NA,NA,Catching an anchovy,,NA,NA,2.0.0,Yes,0,Savory,14178,color_62,FtrSkilletAnchovy,NA,12703,958,nXTTWkTMRKofokAMm
angled signpost,,NA,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Housewares,7867,brown,FtrSignpostTilt,NA,440,510,BNiDaivRjGNzCckWw
apple chair,,NA,10,apple,4,wood,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,4134,red,FtrFruitsChairApple,NA,1820,189,HB55bMQf4D57ekNf4
apple dress,,NA,8,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9836,red,TopsTexOnepieceAlineNApple0,NA,1826,621,KmfTvhh3qeyd6WcFJ
apple hat,,NA,5,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9871,red,CapHatApple0,NA,1825,622,5ABmQxkN3SatETcEg
apple jam,,NA,3,apple,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14176,color_76,FtrJarApple,NA,13615,956,X3pFGdxT7grtx3j2L
apple jelly,,NA,2,apple,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13971,color_60,FtrJellyApple,NA,14305,880,krwsBWLNcoQsKg9zx
apple pie,,NA,3,flour,2,sugar,2,apple,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13944,color_61,FtrPieApple,NA,14905,857,HA43y4JN2oibvbScj
apple rug,,NA,6,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Rugs,7327,red,RugOtherAppleM00,NA,1823,542,5noTnXTTPzBfbsaz2
